,cg24049621,cg26172016,cg17675150,cg21867891,cg05800761,cg23309969,cg25401010,cg06487082,cg12406559,cg12737497,cg17289202,cg04212150,cg03096126,cg14269096,cg24243629,cg21710408,cg05603258,ch.18.1114073F,cg14517073,cohort,ZNF532,ARGscore
TCGA-CK-6751-01,0.9363,0.4845,0.9683,0.9602,0.9491,0.9441,0.9406,0.2246,0.6604,0.3255,0.0106,0.6067,0.7208,0.8295,0.395,0.5297,0.7644,0.0559,0.923,COAD,8.463,2.4157915500000007
TCGA-G4-6311-01,0.8834,0.6556,0.9532,0.9192,0.923,0.9333,0.9367,0.3634,0.3904,0.2389,0.0139,0.4468,0.3812,0.7077,0.6554,0.571,0.9097,0.0682,0.7922,COAD,9.4,2.77383757
TCGA-A6-6137-01,0.8307,0.6458,0.9519,0.9301,0.9227,0.9307,0.9314,0.17,0.1375,0.1016,0.0106,0.309,0.358,0.7416,0.5143,0.6506,0.892,0.0937,0.8552,COAD,8.29,2.79356426
TCGA-A6-A566-01,0.9043,0.7138,0.9432,0.9317,0.9292,0.9121,0.9428,0.1735,0.1594,0.0917,0.0113,0.4539,0.5986,0.6788,0.4375,0.488,0.6864,0.0538,0.8861,COAD,10.63,3.759162559999999
TCGA-G4-6625-01,0.872,0.5441,0.9439,0.9481,0.9181,0.8902,0.9252,0.2976,0.3371,0.1778,0.018,0.4548,0.5082,0.5867,0.5087,0.734,0.8647,0.0626,0.9008,COAD,8.472,2.1153381599999994
TCGA-DM-A28F-01,0.8695,0.56,0.959,0.9347,0.9184,0.9317,0.9299,0.2211,0.1837,0.1398,0.0134,0.3648,0.3446,0.4411,0.5188,0.7731,0.9249,0.0501,0.9014,COAD,7.985,1.49171208
TCGA-A6-6141-01,0.9191,0.6497,0.9599,0.937,0.9451,0.9458,0.9473,0.1897,0.1965,0.0757,0.0104,0.3877,0.5537,0.7859,0.72,0.6547,0.8996,0.0473,0.9134,COAD,8.231,1.8339174500000004
TCGA-A6-5659-01,0.7437,0.6148,0.9187,0.9186,0.8895,0.8915,0.9017,0.1173,0.1031,0.076,0.04697,0.4292,0.4904,0.4376,0.3778,0.4892,0.9011,0.06873,0.8637,COAD,8.536,2.45457768
TCGA-AZ-6603-01,0.8753,0.5509,0.9322,0.9306,0.9104,0.8992,0.9219,0.1011,0.097,0.0615,0.0111,0.2117,0.2201,0.513,0.2358,0.6763,0.9281,0.0725,0.9344,COAD,9.097,2.70008263
TCGA-D5-6927-01,0.8914,0.4834,0.9383,0.9439,0.9307,0.8779,0.9387,0.1808,0.149,0.0965,0.0114,0.4722,0.4856,0.7008,0.647,0.6716,0.8968,0.054,0.8161,COAD,9.094,2.4440605099999995
TCGA-AU-6004-01,0.9218,0.4327,0.9529,0.9422,0.9387,0.9061,0.9485,0.1254,0.1233,0.0745,0.0109,0.2189,0.2545,0.7627,0.7826,0.6066,0.8595,0.0546,0.8852,COAD,9.389,2.5010100799999986
TCGA-F4-6854-01,0.8506,0.5801,0.9284,0.9079,0.9081,0.8845,0.9363,0.1734,0.1555,0.1654,0.0123,0.4595,0.4719,0.7435,0.3873,0.692,0.8836,0.0959,0.8518,COAD,8.606,2.496751179999999
TCGA-CK-4952-01,0.8833,0.1979,0.9213,0.9344,0.9356,0.9197,0.9303,0.134,0.4822,0.6265,0.0097,0.6312,0.723,0.8117,0.4888,0.4195,0.2518,0.0499,0.878,COAD,6.98,2.72001406
TCGA-A6-5667-01,0.872,0.4946,0.8788,0.8899,0.8824,0.8676,0.9064,0.0637,0.0716,0.047,0.011,0.2229,0.1612,0.5961,0.313,0.6977,0.9329,0.0631,0.9222,COAD,8.907,2.97988524
TCGA-G4-6315-01,0.905,0.742,0.9526,0.9379,0.9195,0.9015,0.9393,0.4894,0.4881,0.3047,0.0094,0.5633,0.6229,0.8978,0.5358,0.7432,0.9247,0.0576,0.9171,COAD,7.169,1.96925307
TCGA-A6-6781-01,0.8654,0.6526,0.9414,0.9291,0.9315,0.8874,0.9302,0.2865,0.3473,0.1926,0.0367,0.4301,0.441,0.5696,0.5296,0.5849,0.9165,0.0512,0.8528,COAD,10.05,3.3542535499999993
TCGA-D5-6541-01,0.8712,0.4192,0.6795,0.5881,0.778,0.6507,0.7123,0.0462,0.0808,0.0625,0.0114,0.0705,0.0371,0.2379,0.3287,0.5936,0.8632,0.055,0.9066,COAD,10.44,2.74987436
TCGA-DM-A1D9-01,0.904,0.4772,0.952,0.9401,0.9371,0.9219,0.9491,0.0515,0.067,0.0466,0.0105,0.372,0.3901,0.1909,0.1947,0.7238,0.9223,0.0405,0.9328,COAD,8.476,2.45576548
TCGA-AD-6901-01,0.8351,0.799,0.9413,0.8837,0.9053,0.8873,0.9303,0.1493,0.1699,0.1104,0.0129,0.4158,0.5942,0.5238,0.4259,0.6147,0.82,0.0759,0.8739,COAD,9.681,3.150320629999998
TCGA-CK-6748-01,0.8876,0.5043,0.9589,0.8744,0.9008,0.8158,0.9215,0.082,0.1091,0.1246,0.0117,0.5589,0.7276,0.649,0.5057,0.7538,0.9436,0.0936,0.8848,COAD,9.546,3.52601543
TCGA-AA-3496-01,0.8834,0.7046,0.9537,0.9536,0.9294,0.9298,0.9346,0.3054,0.3295,0.1195,0.0108,0.4901,0.5682,0.771,0.5519,0.5427,0.9231,0.0687,0.9031,COAD,8.91,2.68523144
TCGA-CM-4751-01,0.8868,0.4153,0.8785,0.8624,0.8862,0.8888,0.9106,0.276,0.3342,0.2446,0.0109,0.3204,0.3999,0.566,0.4752,0.6531,0.8477,0.059,0.9,COAD,9.076,2.089463139999999
TCGA-A6-6652-01,0.9021,0.734,0.9526,0.9257,0.9307,0.954,0.9439,0.5762,0.5783,0.4947,0.0102,0.6754,0.7918,0.8188,0.7433,0.6219,0.944,0.0619,0.9137,COAD,7.686,2.92505537
TCGA-F4-6459-01,0.8503,0.7597,0.9192,0.8983,0.8875,0.8878,0.8823,0.0961,0.0781,0.0496,0.0155,0.3181,0.3135,0.7585,0.5106,0.6584,0.9252,0.0674,0.9237,COAD,9.618,3.7544122399999993
TCGA-SS-A7HO-01,0.8755,0.4669,0.9183,0.9331,0.8899,0.9029,0.9291,0.3214,0.4156,0.1516,0.0139,0.5744,0.3903,0.2627,0.343,0.334,0.9087,0.1126,0.669,COAD,8.855,3.19961994
TCGA-A6-6650-01,0.848,0.6056,0.9463,0.924,0.9035,0.9071,0.9111,0.09557,0.08583,0.1112,0.0202,0.465,0.353,0.4746,0.2109,0.7638,0.8922,0.07583,0.9027,COAD,7.814,2.2985698599999997
TCGA-DM-A28A-01,0.8907,0.4175,0.8877,0.901,0.9035,0.8777,0.9301,0.0577,0.0502,0.071,0.0117,0.0674,0.0229,0.6339,0.4319,0.7763,0.9234,0.0607,0.9333,COAD,9.567,2.57233902
TCGA-D5-6534-01,0.9057,0.606,0.9471,0.9225,0.9349,0.9051,0.9432,0.1282,0.1603,0.1621,0.0114,0.2171,0.1093,0.4504,0.377,0.4986,0.829,0.0605,0.7682,COAD,10.73,3.5285953799999996
TCGA-AZ-4616-01,0.9052,0.4748,0.9383,0.9298,0.9228,0.9131,0.9415,0.1666,0.1407,0.1014,0.0105,0.4124,0.4932,0.7093,0.483,0.6324,0.924,0.0854,0.9215,COAD,8.632,1.51116661
TCGA-D5-6533-01,0.8857,0.7362,0.9393,0.9188,0.9207,0.9147,0.9326,0.5679,0.4424,0.2287,0.0101,0.4906,0.6404,0.845,0.6283,0.7213,0.854,0.0523,0.8092,COAD,7.963,1.8625436699999995
TCGA-QG-A5Z1-01,0.8575,0.7517,0.9384,0.9076,0.9145,0.9205,0.9321,0.1042,0.0631,0.0491,0.012,0.4518,0.6003,0.6074,0.301,0.6371,0.9391,0.0808,0.9136,COAD,8.854,3.7326427399999993
TCGA-DM-A0XF-01,0.8814,0.4333,0.6307,0.5633,0.7127,0.6423,0.7022,0.0707,0.0834,0.0487,0.0105,0.0966,0.0235,0.3952,0.2988,0.5283,0.9062,0.0441,0.9346,COAD,8.678,2.8852725699999997
TCGA-G4-6295-01,0.8902,0.2775,0.4207,0.422,0.586,0.412,0.4848,0.0869,0.0976,0.0676,0.0079,0.1529,0.1391,0.3593,0.3043,0.7457,0.8579,0.045,0.6809,COAD,9.509,1.9303967
TCGA-CM-6680-01,0.8879,0.6579,0.9407,0.9464,0.9155,0.9195,0.9402,0.118,0.1129,0.078,0.0149,0.1015,0.0387,0.6366,0.6266,0.683,0.9102,0.1008,0.8918,COAD,9.319,2.88541709
TCGA-CM-6171-01,0.939,0.6708,0.9561,0.9353,0.94,0.9299,0.9521,0.2799,0.3696,0.3554,0.2718,0.4418,0.5258,0.8542,0.6437,0.6316,0.7765,0.0348,0.9192,COAD,8.638,2.9366999899999997
TCGA-AA-3660-01,0.8543,0.3616,0.6314,0.573,0.739,0.6193,0.7322,0.1912,0.2142,0.1451,0.0132,0.2977,0.3274,0.5525,0.2684,0.7612,0.9449,0.0838,0.9097,COAD,8.854,3.0561574499999997
TCGA-F4-6461-01,0.9063,0.5462,0.957,0.9384,0.9134,0.9285,0.9326,0.6793,0.6141,0.4866,0.1098,0.4943,0.5998,0.82,0.7939,0.7353,0.9204,0.0612,0.937,COAD,9.029,2.6996372200000005
TCGA-CM-4747-01,0.7424,0.5214,0.9168,0.9344,0.8859,0.8797,0.8968,0.0906,0.1158,0.0714,0.0114,0.4745,0.6648,0.6388,0.3291,0.6952,0.7838,0.0799,0.8631,COAD,8.404,2.8942269699999996
TCGA-AM-5820-01,0.8475,0.6911,0.929,0.9161,0.8879,0.9176,0.9208,0.1653,0.1002,0.0586,0.0116,0.2073,0.2399,0.5937,0.3184,0.634,0.9346,0.1807,0.8991,COAD,8.448,3.3004107799999995
TCGA-DM-A28H-01,0.8687,0.5691,0.9565,0.9397,0.925,0.9293,0.9424,0.2518,0.2101,0.1573,0.0099,0.5424,0.7035,0.7862,0.3796,0.7744,0.9006,0.0821,0.9112,COAD,7.281,2.21151856
TCGA-D5-7000-01,0.8984,0.6019,0.9479,0.8955,0.9344,0.9259,0.9438,0.1529,0.1377,0.0951,0.0133,0.5289,0.6546,0.754,0.467,0.6972,0.687,0.0536,0.6961,COAD,8.894,2.7032302399999995
TCGA-G4-6320-01,0.917,0.4596,0.961,0.9373,0.9337,0.9291,0.9459,0.459,0.5918,0.4959,0.0166,0.548,0.669,0.8056,0.5005,0.7291,0.7898,0.0431,0.8966,COAD,7.034,1.87232971
TCGA-5M-AAT6-01,0.8424,0.4301,0.778,0.7488,0.7804,0.7232,0.8104,0.1128,0.1645,0.0592,0.0125,0.1186,0.2044,0.5963,0.4225,0.5267,0.5631,0.0479,0.8522,COAD,9.541,2.64623645
TCGA-AZ-6605-01,0.8394,0.5626,0.8683,0.8181,0.8592,0.8472,0.8732,0.1983,0.2408,0.1778,0.0125,0.2714,0.2447,0.4967,0.4449,0.5151,0.8677,0.0849,0.8555,COAD,10.05,2.8662182499999997
TCGA-G4-6310-01,0.8597,0.7608,0.9276,0.919,0.893,0.9051,0.9142,0.1334,0.0705,0.0908,0.0114,0.4174,0.5879,0.7407,0.3332,0.6322,0.9151,0.0603,0.9085,COAD,9.385,3.744676179999999
TCGA-DM-A28M-01,0.9025,0.435,0.9556,0.9226,0.9296,0.9269,0.938,0.2418,0.1345,0.0789,0.0141,0.475,0.5019,0.7474,0.2684,0.7688,0.9052,0.0524,0.8742,COAD,6.919,1.92051885
TCGA-G4-6317-01,0.8459,0.6116,0.9416,0.9354,0.9125,0.9035,0.9257,0.5915,0.4799,0.2652,0.0123,0.5586,0.5942,0.6713,0.4286,0.7773,0.9395,0.0754,0.9152,COAD,6.044,0.9405784699999996
TCGA-DM-A1D4-01,0.7713,0.8418,0.9283,0.9016,0.8592,0.8464,0.8856,0.1645,0.5461,0.7642,0.0097,0.6325,0.7375,0.7636,0.2705,0.8418,0.9336,0.1055,0.7966,COAD,5.958,1.3618720499999997
TCGA-CM-6170-01,0.8896,0.6177,0.9479,0.9433,0.913,0.9107,0.9369,0.1356,0.0762,0.0828,0.0157,0.1471,0.0511,0.7576,0.3458,0.6932,0.9203,0.0577,0.9251,COAD,9.204,2.61132164
TCGA-NH-A50T-01,0.8601,0.3905,0.9504,0.9364,0.9182,0.9233,0.923,0.1958,0.1282,0.0804,0.0117,0.5918,0.759,0.7182,0.5378,0.4915,0.9235,0.0842,0.6768,COAD,7.742,2.10070212
TCGA-NH-A6GB-01,0.9282,0.4471,0.9376,0.9324,0.9412,0.9173,0.9497,0.0943,0.1176,0.1097,0.0121,0.3222,0.1712,0.3908,0.3044,0.6774,0.7757,0.0531,0.6992,COAD,8.639,2.56787156
TCGA-D5-6537-01,0.8969,0.657,0.9476,0.9195,0.9317,0.892,0.9391,0.2963,0.3028,0.2108,0.0093,0.5435,0.7431,0.7527,0.4172,0.55,0.9023,0.0406,0.7259,COAD,7.62,1.5929408799999996
TCGA-4N-A93T-01,0.8565,0.3982,0.9257,0.9288,0.9053,0.899,0.912,0.1744,0.0979,0.1344,0.0141,0.577,0.7358,0.695,0.2336,0.7573,0.936,0.0733,0.8542,COAD,6.611,1.32928211
TCGA-F5-6812-01,0.8984,0.5351,0.9322,0.9207,0.9075,0.8819,0.9227,0.1259,0.1265,0.0701,0.0092,0.3884,0.5373,0.6357,0.5426,0.5913,0.8731,0.0634,0.9228,READ,9.663,2.8043319600000003
TCGA-BM-6198-01,0.8843,0.5372,0.9501,0.9218,0.9153,0.9152,0.9222,0.1435,0.1215,0.0738,0.0081,0.3064,0.1114,0.5035,0.4814,0.6476,0.8975,0.0346,0.8406,READ,8.813,1.7352762100000003
TCGA-AH-6644-01,0.8954,0.5616,0.9477,0.9504,0.9245,0.9231,0.9315,0.1036,0.0665,0.0947,0.0106,0.0861,0.0294,0.4621,0.3368,0.6211,0.9329,0.061,0.7543,READ,9.95,2.9603465399999993
TCGA-AH-6903-01,0.9186,0.5951,0.9615,0.9531,0.942,0.9329,0.9454,0.3418,0.3382,0.2638,0.01,0.4407,0.6214,0.7721,0.5794,0.7511,0.9214,0.0538,0.9346,READ,8.395,2.605686739999999
TCGA-DC-6157-01,0.8852,0.6541,0.956,0.9498,0.9276,0.9462,0.9456,0.2349,0.1715,0.1093,0.0113,0.5496,0.744,0.8359,0.3816,0.6626,0.9371,0.0537,0.8844,READ,8.314,1.95214935
TCGA-AG-3592-01,0.8004,0.5654,0.9375,0.9294,0.9204,0.8925,0.9157,0.0863,0.0808,0.0837,0.0079,0.4668,0.6587,0.7289,0.478,0.7211,0.9316,0.0538,0.8769,READ,8.267,2.530956700000001
TCGA-AG-3591-01,0.8009,0.4137,0.5927,0.7299,0.626,0.5005,0.6242,0.1119,0.1511,0.0918,0.0098,0.1817,0.1821,0.2876,0.2281,0.441,0.9524,0.1173,0.6332,READ,7.398,2.34543125
TCGA-DT-5265-01,0.9181,0.3291,0.7944,0.8671,0.9167,0.9126,0.9392,0.0506,0.0832,0.0913,0.0082,0.4444,0.5169,0.6964,0.4939,0.6985,0.9096,0.0508,0.9177,READ,9.668,4.30321471
TCGA-EI-6506-01,0.8659,0.6888,0.9284,0.9277,0.8937,0.8999,0.9091,0.4084,0.4256,0.289,0.009,0.4533,0.6832,0.7931,0.4591,0.7439,0.9232,0.0447,0.8612,READ,8.265,2.48111693
TCGA-CI-6620-01,0.8677,0.4428,0.7733,0.7977,0.8447,0.8351,0.91,0.1458,0.1632,0.1674,0.0115,0.2706,0.2654,0.5078,0.4137,0.6279,0.9013,0.0579,0.9067,READ,9.019,3.0246725899999993
TCGA-AH-6549-01,0.8914,0.4286,0.4919,0.5728,0.6859,0.5737,0.5431,0.0646,0.0694,0.0899,0.0116,0.1133,0.0427,0.2707,0.1666,0.7033,0.9196,0.0765,0.8583,READ,9.452,3.2491461599999996
TCGA-EI-6514-01,0.8785,0.5065,0.9234,0.9131,0.8767,0.9071,0.8661,0.202,0.1017,0.0772,0.0085,0.5232,0.6944,0.6247,0.4857,0.5355,0.867,0.0683,0.8936,READ,8.502,3.3061944599999995
TCGA-DY-A1DE-01,0.8474,0.6952,0.9214,0.9139,0.8629,0.8672,0.8846,0.3862,0.4612,0.3356,0.0098,0.5298,0.6606,0.5713,0.4631,0.7087,0.7505,0.0735,0.6721,READ,8.008,2.0781234399999997
TCGA-AG-3731-01,0.8851,0.569,0.9447,0.9207,0.9109,0.8964,0.9146,0.1844,0.2165,0.1793,0.0073,0.3552,0.4203,0.6819,0.4355,0.6488,0.8567,0.0484,0.8839,READ,9.563,2.3030742500000008
TCGA-EI-6510-01,0.9018,0.6944,0.9486,0.9242,0.9208,0.9277,0.9389,0.1697,0.2034,0.0599,0.0067,0.5272,0.7059,0.9205,0.5251,0.839,0.9134,0.0507,0.8776,READ,6.963,1.86075198
TCGA-EI-6513-01,0.8089,0.1891,0.3932,0.4558,0.5397,0.5883,0.4917,0.0431,0.0587,0.036,0.0086,0.0872,0.0291,0.1996,0.1753,0.5095,0.834,0.0693,0.7924,READ,9.407,2.1505917399999994
TCGA-G5-6233-01,0.8788,0.5615,0.9356,0.9178,0.9249,0.9098,0.9181,0.2713,0.2896,0.2807,0.0088,0.3873,0.5772,0.7594,0.6068,0.7143,0.9045,0.039,0.8611,READ,8.555,3.080821929999999
TCGA-F5-6465-01,0.8724,0.5025,0.8988,0.8776,0.8654,0.848,0.8862,0.1122,0.1621,0.0549,0.0092,0.2026,0.3044,0.5636,0.3945,0.6258,0.9032,0.0523,0.8197,READ,9.777,2.8932263899999997
TCGA-DY-A1H8-01,0.8827,0.6018,0.9559,0.9339,0.9159,0.915,0.9462,0.0846,0.095,0.0717,0.0099,0.3003,0.2709,0.7293,0.239,0.8159,0.9272,0.0388,0.9035,READ,8.646,2.5494090499999995
TCGA-CL-5917-01,0.876,0.4414,0.667,0.7128,0.7626,0.6967,0.7524,0.0624,0.0682,0.0582,0.0128,0.0827,0.029,0.2905,0.2006,0.7627,0.943,0.0803,0.8428,READ,9.058,3.625210719999999
TCGA-AF-4110-01,0.8344,0.6565,0.9419,0.9182,0.9121,0.9164,0.9182,0.2205,0.2628,0.1952,0.0079,0.3359,0.3979,0.5669,0.5019,0.6726,0.9195,0.0507,0.8814,READ,8.685,2.5536475399999996
TCGA-EI-6511-01,0.8489,0.3279,0.8516,0.9176,0.8847,0.896,0.9264,0.087,0.1559,0.0854,0.0079,0.1029,0.0415,0.5032,0.5182,0.7123,0.9266,0.0511,0.8822,READ,8.879,2.36727007
TCGA-CI-6619-01,0.8884,0.5481,0.8579,0.9127,0.9183,0.868,0.8692,0.2503,0.3254,0.2541,0.0123,0.3831,0.4826,0.6661,0.4876,0.6725,0.8866,0.045,0.8724,READ,9.119,2.4729319600000004
TCGA-AH-6544-01,0.8801,0.6547,0.9503,0.9281,0.9289,0.9319,0.9238,0.4518,0.4601,0.3461,0.0111,0.508,0.6041,0.8194,0.6648,0.7089,0.9163,0.084,0.8995,READ,6.528,1.2769228
TCGA-AF-6136-01,0.8578,0.5201,0.9295,0.9307,0.8976,0.8985,0.9278,0.2819,0.2727,0.1888,0.0094,0.2946,0.3457,0.3891,0.3448,0.6169,0.9257,0.0671,0.9206,READ,8.666,2.7551538
TCGA-EI-7004-01,0.8867,0.6927,0.788,0.6305,0.7889,0.7501,0.8074,0.0829,0.1102,0.1239,0.0143,0.2367,0.1851,0.5459,0.5413,0.5835,0.911,0.0873,0.8842,READ,10.72,4.0171171800000005
TCGA-F5-6702-01,0.924,0.5666,0.7459,0.7322,0.8858,0.79,0.8487,0.1222,0.2043,0.1649,0.0166,0.2574,0.2461,0.3477,0.3494,0.6106,0.927,0.0765,0.8265,READ,11.09,3.81512036
TCGA-EI-6512-01,0.8332,0.4049,0.9126,0.9,0.8593,0.8863,0.9055,0.1456,0.1381,0.1344,0.0096,0.306,0.2808,0.6575,0.2887,0.7456,0.9203,0.0501,0.85,READ,8.866,2.49555567
TCGA-F5-6861-01,0.8714,0.6336,0.9551,0.9315,0.9379,0.9166,0.9482,0.1564,0.1375,0.0983,0.0108,0.4139,0.5419,0.7175,0.5956,0.6394,0.901,0.058,0.8982,READ,8.893,2.55968962
TCGA-F5-6810-01,0.9197,0.5744,0.8983,0.9256,0.927,0.9016,0.9455,0.1087,0.0826,0.0841,0.0115,0.3718,0.3055,0.4076,0.2262,0.7137,0.9321,0.0685,0.7869,READ,9.759,3.46152956
TCGA-AF-2690-01,0.727,0.5916,0.8782,0.8554,0.7877,0.7999,0.8447,0.0846,0.0856,0.0584,0.0098,0.0993,0.1266,0.6003,0.3932,0.5306,0.9048,0.0754,0.8131,READ,9.43,3.04773325
TCGA-EF-5830-01,0.8842,0.3343,0.3449,0.4364,0.5368,0.5016,0.4104,0.0558,0.0714,0.0584,0.0101,0.096,0.0356,0.2769,0.2485,0.688,0.9692,0.0856,0.8332,READ,7.969,2.9388902199999993
TCGA-EI-6881-01,0.8348,0.8659,0.9399,0.9305,0.8842,0.8949,0.9239,0.2274,0.1969,0.1681,0.0124,0.424,0.5771,0.8088,0.4337,0.7973,0.9323,0.1201,0.8973,READ,7.73,2.12559177
TCGA-AF-2693-01,0.8521,0.8003,0.9515,0.9331,0.9248,0.9238,0.923,0.2589,0.2682,0.1956,0.0083,0.3744,0.6665,0.8434,0.6385,0.7213,0.8987,0.0513,0.8432,READ,8.156,2.4330323199999992
TCGA-DY-A0XA-01,0.8212,0.6401,0.9399,0.8918,0.8939,0.8798,0.9134,0.1524,0.2421,0.0734,0.0116,0.568,0.7376,0.6126,0.2675,0.717,0.9253,0.0697,0.8864,READ,8.304,2.3815725199999997
TCGA-F5-6863-01,0.8719,0.5549,0.8026,0.8022,0.8832,0.8358,0.8479,0.0751,0.1052,0.0678,0.01,0.1948,0.2769,0.2449,0.209,0.6611,0.9325,0.0716,0.907,READ,9.544,3.6023015700000003
TCGA-AF-6655-01,0.8436,0.7284,0.9305,0.9352,0.9175,0.9037,0.9039,0.1679,0.0989,0.1038,0.0112,0.4073,0.5277,0.5431,0.366,0.6166,0.9293,0.1134,0.9039,READ,9.269,2.72928497
TCGA-CI-6624-01,0.9142,0.6547,0.9443,0.9365,0.9396,0.936,0.9491,0.3353,0.3994,0.318,0.0098,0.3871,0.4541,0.5833,0.4971,0.6577,0.8615,0.0584,0.9155,READ,9.33,2.8029002
TCGA-DC-4745-01,0.7553,0.7518,0.8951,0.8638,0.8021,0.8617,0.868,0.3226,0.1518,0.0903,0.009,0.5168,0.6943,0.7814,0.7227,0.759,0.9046,0.1305,0.8114,READ,7.307,2.2704227199999996
TCGA-EI-6883-01,0.8739,0.8401,0.9354,0.9332,0.8941,0.9273,0.9215,0.3352,0.4053,0.3122,0.0093,0.5778,0.7277,0.8199,0.8398,0.8068,0.9577,0.1079,0.891,READ,7.609,1.65961722
TCGA-EI-6507-01,0.9075,0.7517,0.9638,0.9404,0.9316,0.9274,0.9404,0.4798,0.5842,0.4283,0.0076,0.3719,0.5851,0.9316,0.6416,0.7157,0.8975,0.0419,0.9127,READ,9.576,3.258134329999999
TCGA-CI-6623-01,0.8907,0.6764,0.9513,0.9247,0.9221,0.9277,0.9448,0.1499,0.1063,0.0557,0.0119,0.2759,0.3735,0.5191,0.4622,0.6113,0.9252,0.0627,0.9178,READ,7.888,2.61607549
TCGA-DC-5337-01,0.9041,0.3348,0.9449,0.9469,0.9397,0.927,0.9455,0.0896,0.091,0.0773,0.0102,0.1063,0.0369,0.3286,0.2761,0.6778,0.916,0.053,0.8764,READ,7.673,0.9585486499999996
TCGA-CL-5918-01,0.9137,0.4734,0.9333,0.9512,0.9299,0.9371,0.9359,0.0866,0.081,0.0616,0.0102,0.2566,0.1854,0.6262,0.2884,0.7672,0.9247,0.061,0.8642,READ,7.221,1.81377116
TCGA-DC-6156-01,0.8705,0.6381,0.9431,0.9554,0.9161,0.9153,0.9071,0.1048,0.1097,0.0832,0.0122,0.1336,0.0714,0.375,0.4421,0.5645,0.8957,0.069,0.9135,READ,10.75,3.6428337699999993
TCGA-AG-3725-01,0.7404,0.3883,0.8247,0.7166,0.765,0.779,0.7674,0.072,0.1334,0.1065,0.0099,0.2164,0.1656,0.2349,0.2216,0.7764,0.9286,0.0952,0.8769,READ,8.429,2.190020179999999
TCGA-F5-6864-01,0.8475,0.6452,0.9214,0.9187,0.8965,0.8994,0.9099,0.0727,0.0707,0.0876,0.0079,0.0795,0.0429,0.5255,0.4338,0.6534,0.937,0.1068,0.8652,READ,10.08,3.2667841600000003
TCGA-DC-6160-01,0.9076,0.5224,0.9483,0.9368,0.9349,0.9089,0.9537,0.2097,0.2433,0.2028,0.0089,0.2875,0.5958,0.683,0.5253,0.6174,0.9084,0.0587,0.92,READ,8.658,2.5422112199999995
TCGA-AF-3911-01,0.739,0.571,0.9056,0.851,0.8233,0.8476,0.8609,0.1212,0.0831,0.0999,0.0124,0.2701,0.3399,0.383,0.351,0.6686,0.9114,0.1004,0.7925,READ,8.47,2.5677044799999997
TCGA-EI-6508-01,0.8867,0.4824,0.9409,0.9258,0.9124,0.9082,0.9195,0.1957,0.2052,0.1651,0.0093,0.4679,0.4728,0.7982,0.3787,0.7446,0.9171,0.0491,0.8031,READ,8.101,2.5045752999999995
TCGA-EI-6917-01,0.9035,0.7961,0.9559,0.9292,0.9189,0.9106,0.9536,0.2404,0.2596,0.1226,0.0091,0.454,0.6301,0.7227,0.6307,0.6866,0.9295,0.0712,0.9117,READ,9.88,2.7410463600000003
TCGA-DC-6681-01,0.8767,0.6421,0.9434,0.9317,0.9042,0.9148,0.9041,0.0853,0.0999,0.0694,0.0091,0.3702,0.4506,0.7339,0.4543,0.5353,0.916,0.089,0.9135,READ,8.962,3.5128296999999997
TCGA-F5-6814-01,0.9109,0.4147,0.7091,0.7076,0.8075,0.7405,0.7894,0.1382,0.1807,0.1411,0.0093,0.3523,0.3612,0.7704,0.5013,0.7644,0.9248,0.0444,0.8929,READ,9.783,2.7540011599999996
TCGA-F5-6464-01,0.894,0.6114,0.9499,0.9239,0.906,0.9177,0.9391,0.4149,0.263,0.1566,0.0084,0.3801,0.4931,0.5732,0.543,0.6349,0.8406,0.05,0.8928,READ,10.5,3.5576011899999993
TCGA-DC-6158-01,0.8649,0.4641,0.8135,0.7208,0.8473,0.8177,0.8375,0.1022,0.1714,0.118,0.011,0.1742,0.1145,0.3927,0.3518,0.6741,0.9094,0.0883,0.8758,READ,10.11,2.78829757
TCGA-DC-5869-01,0.8861,0.6703,0.9441,0.9358,0.9016,0.9219,0.9285,0.1174,0.1078,0.0786,0.0103,0.3445,0.3174,0.4839,0.2777,0.6645,0.9429,0.0775,0.9126,READ,8.091,2.1984435499999995
TCGA-AF-A56N-01,0.7806,0.5789,0.8501,0.8952,0.8273,0.7945,0.8695,0.0686,0.0834,0.0539,0.0118,0.2203,0.262,0.6191,0.2477,0.667,0.9173,0.1076,0.7942,READ,8.913,2.97114963
TCGA-AG-4022-01,0.7843,0.5894,0.9022,0.9014,0.8844,0.8864,0.8813,0.1619,0.246,0.1629,0.0096,0.3523,0.6008,0.5074,0.3557,0.6516,0.9216,0.0832,0.774,READ,8.764,2.3899712099999997
TCGA-DY-A1DG-01,0.679,0.7669,0.8933,0.8568,0.847,0.8187,0.8465,0.1033,0.1059,0.0568,0.0175,0.2426,0.2611,0.4784,0.4461,0.836,0.932,0.1783,0.8862,READ,6.645,1.17574948
TCGA-EF-5831-01,0.9038,0.7385,0.9607,0.9426,0.9222,0.9225,0.945,0.2494,0.2678,0.1358,0.0097,0.5729,0.6892,0.8816,0.6178,0.7333,0.939,0.0619,0.9174,READ,8.846,2.77466573
TCGA-AG-3732-01,0.8867,0.4355,0.6498,0.6516,0.7385,0.6181,0.6997,0.077,0.1091,0.1055,0.0104,0.1346,0.06,0.5316,0.3822,0.6564,0.8662,0.0878,0.8889,READ,8.527,2.132398219999999
